borough,animal_recovered,year_and_month
croydon,not recovered,may-2012
camden,not recovered,may-2012
haringey,not recovered,may-2012
havering,recovered,may-2012
havering,recovered,may-2012
redbridge,not recovered,may-2012
bromley,not recovered,may-2012
sutton,not recovered,may-2012
hackney,not recovered,may-2012
lambeth,not recovered,may-2012
croydon,not recovered,may-2012
hackney,not recovered,jun-2012
haringey,recovered,jun-2012
kensington and chelsea,not recovered,jun-2012
bromley,not recovered,jun-2012
hammersmith and fulham,not recovered,jun-2012
bexley,not recovered,jun-2012
ealing,not recovered,jun-2012
hounslow,not recovered,jun-2012
barking and dagenham,not recovered,jun-2012
kensington and chelsea,not recovered,jun-2012
greenwich,not recovered,jun-2012
brent,not recovered,jun-2012
brent,not recovered,jun-2012
barking and dagenham,not recovered,jun-2012
hackney,not recovered,jun-2012
haringey,not recovered,jun-2012
haringey,not recovered,jun-2012
newham,not recovered,jun-2012
greenwich,not recovered,jun-2012
enfield,not recovered,jun-2012
enfield,not recovered,jun-2012
waltham forest,not recovered,jul-2012
kensington and chelsea,not recovered,jul-2012
kensington and chelsea,not recovered,jul-2012
kensington and chelsea,not recovered,jul-2012
kensington and chelsea,not recovered,jul-2012
kensington and chelsea,not recovered,jul-2012
lewisham,not recovered,jul-2012
barnet,recovered,jul-2012
newham,not recovered,jul-2012
bromley,not recovered,jul-2012
bromley,not recovered,jul-2012
westminster,not recovered,jul-2012
lewisham,not recovered,jul-2012
croydon,not recovered,jul-2012
croydon,not recovered,jul-2012
hammersmith and fulham,not recovered,jul-2012
enfield,not recovered,aug-2012
newham,not recovered,aug-2012
hounslow,not recovered,aug-2012
lambeth,not recovered,aug-2012
greenwich,not recovered,aug-2012
tower hamlets,not recovered,aug-2012
tower hamlets,not recovered,aug-2012
tower hamlets,not recovered,aug-2012
sutton,not recovered,aug-2012
lambeth,not recovered,aug-2012
croydon,not recovered,aug-2012
islington,not recovered,aug-2012
greenwich,not recovered,aug-2012
croydon,not recovered,aug-2012
newham,recovered,aug-2012
bromley,not recovered,aug-2012
redbridge,recovered,aug-2012
kingston upon thames,not recovered,sep-2012
bexley,not recovered,sep-2012
wandsworth,not recovered,sep-2012
lewisham,not recovered,sep-2012
brent,not recovered,sep-2012
havering,recovered,sep-2012
islington,not recovered,sep-2012
southwark,recovered,sep-2012
tower hamlets,not recovered,sep-2012
hillingdon,not recovered,sep-2012
barking and dagenham,not recovered,sep-2012
lambeth,not recovered,sep-2012
barking and dagenham,not recovered,sep-2012
haringey,not recovered,sep-2012
haringey,not recovered,sep-2012
islington,not recovered,sep-2012
newham,not recovered,sep-2012
hackney,not recovered,sep-2012
hillingdon,recovered,oct-2012
westminster,recovered,oct-2012
hillingdon,not recovered,oct-2012
tower hamlets,not recovered,oct-2012
harrow,not recovered,oct-2012
hillingdon,not recovered,oct-2012
lewisham,not recovered,oct-2012
ealing,not recovered,oct-2012
ealing,not recovered,oct-2012
