borough,animal_recovered,year_and_month
kensington and chelsea,not recovered,may-2023
wandsworth,not recovered,jun-2023
wandsworth,not recovered,jun-2023
hillingdon,not recovered,jun-2023
hillingdon,not recovered,jun-2023
hillingdon,not recovered,jun-2023
lambeth,not recovered,jun-2023
lambeth,not recovered,jun-2023
brent,not recovered,jun-2023
harrow,not recovered,jun-2023
camden,not recovered,jun-2023
ealing,not recovered,jun-2023
ealing,not recovered,jun-2023
ealing,recovered,jun-2023
southwark,not recovered,jun-2023
southwark,not recovered,jun-2023
southwark,not recovered,jun-2023
southwark,not recovered,jun-2023
greenwich,not recovered,jun-2023
greenwich,not recovered,jun-2023
greenwich,not recovered,jun-2023
greenwich,not recovered,jun-2023
croydon,not recovered,jun-2023
sutton,not recovered,jun-2023
tower hamlets,not recovered,jun-2023
tower hamlets,not recovered,jun-2023
barking and dagenham,not recovered,jun-2023
enfield,not recovered,jun-2023
enfield,not recovered,jun-2023
kensington and chelsea,not recovered,jun-2023
hackney,not recovered,jun-2023
hammersmith and fulham,not recovered,jun-2023
westminster,not recovered,jun-2023
croydon,not recovered,jun-2023
hounslow,not recovered,jul-2023
hounslow,not recovered,jul-2023
hillingdon,not recovered,jul-2023
lambeth,not recovered,jul-2023
merton,not recovered,jul-2023
brent,not recovered,jul-2023
brent,not recovered,jul-2023
camden,not recovered,jul-2023
barnet,not recovered,jul-2023
haringey,not recovered,jul-2023
lewisham,not recovered,jul-2023
greenwich,not recovered,jul-2023
croydon,not recovered,jul-2023
croydon,not recovered,jul-2023
bexley,not recovered,jul-2023
tower hamlets,not recovered,jul-2023
redbridge,not recovered,jul-2023
redbridge,not recovered,jul-2023
redbridge,not recovered,jul-2023
hackney,not recovered,jul-2023
hackney,not recovered,jul-2023
barking and dagenham,not recovered,jul-2023
newham,not recovered,jul-2023
westminster,not recovered,jul-2023
brent,not recovered,jul-2023
richmond upon thames,not recovered,aug-2023
lambeth,not recovered,aug-2023
lambeth,recovered,aug-2023
kingston upon thames,not recovered,aug-2023
harrow,not recovered,aug-2023
harrow,not recovered,aug-2023
camden,not recovered,aug-2023
camden,not recovered,aug-2023
southwark,not recovered,aug-2023
ealing,not recovered,aug-2023
ealing,not recovered,aug-2023
haringey,not recovered,aug-2023
southwark,not recovered,aug-2023
lewisham,not recovered,aug-2023
lewisham,not recovered,aug-2023
lewisham,not recovered,aug-2023
lewisham,not recovered,aug-2023
bromley,not recovered,aug-2023
greenwich,not recovered,aug-2023
greenwich,not recovered,aug-2023
croydon,recovered,aug-2023
bexley,not recovered,aug-2023
enfield,not recovered,aug-2023
newham,recovered,aug-2023
waltham forest,recovered,aug-2023
newham,recovered,aug-2023
kensington and chelsea,not recovered,aug-2023
westminster,not recovered,aug-2023
kingston upon thames,not recovered,sep-2023
hounslow,not recovered,sep-2023
hounslow,not recovered,sep-2023
hillingdon,not recovered,sep-2023
lambeth,not recovered,sep-2023
lambeth,not recovered,sep-2023
merton,not recovered,sep-2023
brent,not recovered,sep-2023
haringey,not recovered,sep-2023
southwark,not recovered,sep-2023
bromley,not recovered,sep-2023
bexley,not recovered,sep-2023
sutton,not recovered,sep-2023
tower hamlets,not recovered,sep-2023
redbridge,not recovered,sep-2023
waltham forest,not recovered,sep-2023
kensington and chelsea,not recovered,sep-2023
westminster,not recovered,sep-2023
westminster,recovered,sep-2023
lambeth,not recovered,apr-2023
camden,not recovered,sep-2023
sutton,not recovered,oct-2023
kingston upon thames,recovered,oct-2023
hounslow,not recovered,oct-2023
lambeth,not recovered,oct-2023
lambeth,not recovered,oct-2023
merton,not recovered,oct-2023
harrow,not recovered,oct-2023
camden,recovered,oct-2023
barnet,not recovered,oct-2023
islington,not recovered,oct-2023
islington,not recovered,oct-2023
islington,not recovered,oct-2023
bexley,not recovered,oct-2023
sutton,not recovered,oct-2023
tower hamlets,not recovered,oct-2023
tower hamlets,not recovered,oct-2023
tower hamlets,not recovered,oct-2023
waltham forest,not recovered,oct-2023
waltham forest,recovered,oct-2023
waltham forest,not recovered,oct-2023
enfield,not recovered,oct-2023
enfield,recovered,oct-2023
hammersmith and fulham,not recovered,oct-2023
hammersmith and fulham,not recovered,oct-2023
camden,not recovered,oct-2023
westminster,not recovered,oct-2023
westminster,not recovered,oct-2023
westminster,not recovered,oct-2023
bexley,not recovered,sep-2023
wandsworth,not recovered,nov-2023
wandsworth,not recovered,nov-2023
hounslow,not recovered,nov-2023
hounslow,not recovered,nov-2023
hillingdon,not recovered,nov-2023
lambeth,not recovered,nov-2023
lambeth,not recovered,nov-2023
merton,not recovered,nov-2023
brent,not recovered,nov-2023
barnet,not recovered,nov-2023
greenwich,not recovered,nov-2023
ealing,not recovered,nov-2023
islington,not recovered,nov-2023
haringey,not recovered,nov-2023
haringey,recovered,nov-2023
newham,not recovered,nov-2023
bromley,not recovered,nov-2023
bromley,not recovered,nov-2023
bromley,not recovered,nov-2023
greenwich,not recovered,nov-2023
greenwich,recovered,nov-2023
croydon,not recovered,nov-2023
tower hamlets,not recovered,nov-2023
tower hamlets,not recovered,nov-2023
redbridge,not recovered,nov-2023
barking and dagenham,not recovered,nov-2023
barking and dagenham,not recovered,nov-2023
newham,recovered,nov-2023
newham,not recovered,nov-2023
newham,not recovered,nov-2023
newham,not recovered,nov-2023
havering,not recovered,nov-2023
havering,not recovered,nov-2023
