Count of Stolen Animals,Type of Animal,Borough,Type Of Offence,Animal Recovered,Year and Month
1,Dog,Haringey,Burglary,Recovered,Sep-2010
1,Dog,Barking and Dagenham,Violence Against the Person,Recovered,Sep-2010
1,Fish,Waltham Forest,Theft and Handling,Not Recovered,Sep-2010
1,Reptile,Waltham Forest,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Barking and Dagenham,Robbery,Not Recovered,Sep-2010
2,Dog,Westminster,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Greenwich,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Sep-2010
1,Mammal (exc Cat and Dog),Enfield,Theft and Handling,Not Recovered,Sep-2010
1,Mammal (exc Cat and Dog),Enfield,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Hillingdon,Robbery,Not Recovered,Sep-2010
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Sep-2010
1,Cat,Enfield,Theft and Handling,Not Recovered,Sep-2010
1,Mammal (exc Cat and Dog),Hounslow,Theft and Handling,Not Recovered,Sep-2010
1,Reptile,Harrow,Theft and Handling,Not Recovered,Sep-2010
1,Reptile,Bromley,Theft and Handling,Not Recovered,Sep-2010
1,Cat,Croydon,Violence Against the Person,Not Recovered,Sep-2010
1,Dog,Enfield,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Barnet,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Haringey,Theft and Handling,Recovered,Sep-2010
1,Dog,Haringey,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Greenwich,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Hounslow,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Harrow,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Sep-2010
2,Mammal (exc Cat and Dog),Waltham Forest,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Ealing,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Croydon,Burglary,Not Recovered,Sep-2010
1,Dog,Enfield,Theft and Handling,Not Recovered,Oct-2010
1,Dog,Redbridge,Burglary,Not Recovered,Oct-2010
1,Dog,Southwark,Theft and Handling,Not Recovered,Oct-2010
1,Dog,Lewisham,Theft and Handling,Recovered,Oct-2010
1,Dog,Bexley,Theft and Handling,Not Recovered,Oct-2010
1,Dog,Enfield,Burglary,Not Recovered,Oct-2010
1,Mammal (exc Cat and Dog),Hammersmith and Fulham,Theft and Handling,Not Recovered,Oct-2010
1,Mammal (exc Cat and Dog),Richmond upon Thames,Theft and Handling,Not Recovered,Oct-2010
1,Dog,Enfield,Violence Against the Person,Not Recovered,Oct-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Oct-2010
